"","modalite","site","ET_diff_lumiere","mean_diff_lumiere","ET_diff_tolerante","mean_diff_tolerante","ET_diff_ombre","mean_diff_ombre","année"
"1","enclos_exclos","TF",0,0,0.0884360087815756,-0.0346508479572996,NA,0.0346508479572996,2016
"2","enclos_exclos","TF",0.0562907164417753,0.0403325123152709,0.0839353252674489,-0.197303511562671,NA,0.1569709992474,2017
"3","enclos_exclos","Arc",0.263674078360486,-0.148208605555359,0.444153326504267,0.0688977235673053,NA,0.0793108819880538,2017
"4","exclos_selectif sanglier","Arc",0.101837169823393,-0.0160021265284423,0.113981793552844,0.0124534821903243,NA,0.00354864433811804,2017
"5","exclos_selectif chevreuil","Arc",0.16060896183009,0.114153439153439,0.129858901510388,-0.0694532627865961,NA,-0.044700176366843,2017
"6","exclos_selectif cerf","Arc",0.0900563506987514,-0.0751639006857223,0.147937736747142,0.181041610192464,NA,-0.105877709506742,2017
"7","exclos_selectif cerf","Arc",0.0752311514218924,-0.030877616747182,0.0551679928317041,0.0198792270531401,NA,0.0109983896940419,2018
"8","exclos_selectif chevreuil","Arc",0.0660683373152159,0.259629457249397,0.0207696185927709,-0.210588387125119,NA,-0.0490410701242785,2018
"9","exclos_selectif sanglier","Arc",0.12677870338587,-0.0239703454981233,0.110294727494811,0.0761526732012843,NA,-0.052182327703161,2018
"10","enclos_exclos","Arc",NA,0.0158333333333333,NA,-0.0908333333333333,NA,0.075,2018
"11","enclos_exclos","TF",0.118148567662236,0.0619097222222222,0.0401407911570255,-0.154270833333333,NA,0.0923611111111111,2018
"12","enclos_exclos","TF",0.0565003708962417,-0.0183326871381307,0.131102488502491,-0.17389155982906,NA,0.192224246967191,2019
"13","enclos_exclos","Arc",0.0471192222101642,0.0604968508194314,0.267325175716546,-0.242013631529761,NA,0.181516780710329,2019
"14","exclos_selectif sanglier","Arc",0.11695473488638,-0.0656089612536389,0.10918113951204,-0.0558285659035284,NA,0.121437527157167,2019
"15","exclos_selectif chevreuil","Arc",0.148683181177871,0.0238233093071803,0.183579080582758,-0.0512093327819135,NA,0.0273860234747332,2019
"16","exclos_selectif cerf","Arc",0.00756890050192866,-0.0150661375661376,0.084647365798505,0.158599353321576,NA,-0.143533215755438,2019
"17","exclos_selectif cerf","Arc",0.049189048523546,-0.0168276972624799,0.170168213380687,0.122334368530021,NA,-0.105506671267541,2020
"18","exclos_selectif chevreuil","Arc",0.149483965668597,0.0945674132630654,0.129437730348505,-0.0860654521224237,NA,-0.00850196114064183,2020
"19","exclos_selectif sanglier","Arc",0.0101158244052712,0.0064977614977615,0.0980255472588021,-0.218133903133903,NA,0.211636141636142,2020
"20","enclos_exclos","Arc",0.22236554144575,-0.121119717473884,0.454751976144368,0.106369203070592,NA,0.0147505144032922,2020
"21","enclos_exclos","TF",0.218691503174496,-0.114335317460317,0.218691503174496,0.114335317460317,NA,0,2021
"22","enclos_exclos","Arc",0.104532834812412,-0.0318085748792271,0.63403108174954,-0.282714371980676,NA,-0.352143719806763,2021
"23","exclos_selectif sanglier","Arc",0.116677400748106,-0.130363984674329,0.194971960259534,0.116798123119962,NA,0.0135658615543673,2021
"24","exclos_selectif chevreuil","Arc",0.0862016026915066,-0.0497685185185185,0.193888339659346,0.0137103174603175,NA,0.0360582010582011,2021
"25","exclos_selectif cerf","Arc",0.10127181295226,-0.0584693084693085,0.135193478786322,0.0180930180930181,NA,0.0403762903762904,2021
"26","exclos_selectif cerf","Arc",0.400612536358919,0.211916264090177,0.148786933136218,0.171836899010812,NA,-0.383753163100989,2022
"27","exclos_selectif chevreuil","Arc",0.139257079235016,0.105023448773449,0.135222676893332,-0.100541648367735,NA,-0.00448180040571344,2022
"28","exclos_selectif sanglier","Arc",0.0820841390101482,-0.0233041415800037,0.033474700371508,-0.259425812586732,NA,0.282729954166736,2022
"29","enclos_exclos","Arc",0.168069907751093,-0.090300925925926,0.527298325856568,-0.094052491501163,NA,0.184353417427089,2022
"30","enclos_exclos","TF",0.0200100932030693,-0.0541044953713619,0.098039055406437,-0.230581014056464,NA,0.284685509427826,2022
