Layer,intercept,Estimate,Std. Error,t value,Pr
, 2017:exclos selectif chevreuil,-0.00999999999999996,0.0225831795812724,-0.442807442770046,0.67640568820315
, 2018:exclos selectif chevreuil,-0.01,0.0225831795812724,-0.442807442770047,0.676405688203148
, 2019:exclos selectif chevreuil,-3.25430096517967e-17,0.0225831795812724,-1.44102868839531e-15,0.999999999999999
, 2020:exclos selectif chevreuil,0.08,0.0243926218353009,3.27968024676315,0.021962282317036
, 2021:exclos selectif chevreuil,0.035,0.0225831795812724,1.54982604969517,0.181872725508046
, 2022:exclos selectif chevreuil,NA,NA,NA,NA
, 2017:exclos selectif sanglier,-0.05,0.0225831795812724,-2.21403721385024,0.0777087798004096
, 2018:exclos selectif sanglier,-0.04,0.0225831795812724,-1.77122977108019,0.13673082972906
, 2019:exclos selectif sanglier,-0.04,0.0225831795812724,-1.77122977108019,0.136730829729059
, 2020:exclos selectif sanglier,0.01,0.0243926218353009,0.409960030845394,0.698809197104171
, 2021:exclos selectif sanglier,-0.125,0.0225831795812724,-5.53509303462559,0.00264028279316273
, 2022:exclos selectif sanglier,NA,NA,NA,NA
Tree, 2017:exclos selectif cerf,-6.15781174200946e-19,9.26697983669291e-18,-0.0664489601847131,0.949595564301027
, 2018:exclos selectif cerf,3.25772482590917e-19,9.26697983669291e-18,0.0351541158318928,0.973317119588855
, 2019:exclos selectif cerf,-6.19033402303088e-18,9.26697983669291e-18,-0.667999081914481,0.533726087390561
, 2020:exclos selectif cerf,-1.94449315782264e-17,1.00094822298301e-17,-1.94265109140979,0.109697701669767
, 2021:exclos selectif cerf,0.05,9.26697983669291e-18,5395501110515350,4.1509254199184e-78
, 2022:exclos selectif cerf,NA,NA,NA,NA
, 2017:exclos selectif chevreuil,-1.19766952315705e-17,9.2669798366929e-18,-1.29240544844486,0.252718431889058
, 2018:exclos selectif chevreuil,7.94781863556896e-18,9.26697983669292e-18,0.857649285487739,0.430268150366804
, 2019:exclos selectif chevreuil,5.34758769051092e-18,9.26697983669292e-18,0.577058306454597,0.588907109278143
, 2020:exclos selectif chevreuil,-2.04616818148675e-17,1.00094822298301e-17,-2.0442297958118,0.0963482330568172
, 2021:exclos selectif chevreuil,0.06,9.26697983669292e-18,6474601332618420,1.66816382937827e-78
, 2022:exclos selectif chevreuil,NA,NA,NA,NA
, 2017:exclos selectif sanglier,-1.85150301902888e-17,9.26697983669292e-18,-1.99795731905856,0.102205758740865
, 2018:exclos selectif sanglier,-1.1639707734341e-18,9.26697983669291e-18,-0.125604112013422,0.904939431004302
, 2019:exclos selectif sanglier,-1.05985133978021e-18,9.26697983669292e-18,-0.114368581615306,0.913396282446458
, 2020:exclos selectif sanglier,-4.02739881938532e-17,1.00094822298301e-17,-4.02358356497493,0.0100849684751905
, 2021:exclos selectif sanglier,0.07,9.26697983669291e-18,7553701554721490,7.71799960566737e-79
, 2022:exclos selectif sanglier,NA,NA,NA,NA
