Layer,intercept,Estimate,Std. Error,t value,Pr
Herbaceous, 2017:exclos selectif cerf,0.115,0.147682090992781,0.778699700328738,0.47138346246653
, 2018:exclos selectif cerf,-0.17,0.147682090992781,-1.15112129613813,0.301738030046459
, 2019:exclos selectif cerf,0.0149999999999999,0.147682090992781,0.101569526129835,0.923045768940212
, 2020:exclos selectif cerf,-0.0700000000000002,0.159514889587148,-0.438830507805085,0.679098684006251
, 2021:exclos selectif cerf,0.175,0.147682090992781,1.18497780484808,0.289273671031525
, 2022:exclos selectif cerf,NA,NA,NA,NA
, 2017:exclos selectif chevreuil,-0.265,0.147682090992781,-1.79439496162709,0.132711843215558
, 2018:exclos selectif chevreuil,-0.0899999999999999,0.147682090992781,-0.609417156779012,0.568875060775582
, 2019:exclos selectif chevreuil,-0.045,0.147682090992781,-0.304708578389507,0.772863353940271
, 2020:exclos selectif chevreuil,-0.36,0.159514889587148,-2.256842611569,0.0736424927943044
, 2021:exclos selectif chevreuil,-0.105,0.147682090992781,-0.71098668290885,0.508874265972495
, 2022:exclos selectif chevreuil,NA,NA,NA,NA
, 2017:exclos selectif sanglier,-0.045,0.147682090992781,-0.304708578389506,0.772863353940271
, 2018:exclos selectif sanglier,-0.29,0.147682090992781,-1.96367750517682,0.106784251555408
, 2019:exclos selectif sanglier,0.0949999999999998,0.147682090992781,0.643273665488956,0.548383163016895
, 2020:exclos selectif sanglier,-0.23,0.159514889587148,-1.44187166850242,0.208911954353283
, 2021:exclos selectif sanglier,-0.105,0.147682090992781,-0.71098668290885,0.508874265972494
, 2022:exclos selectif sanglier,NA,NA,NA,NA
Low shrub, 2017:exclos selectif cerf,0.05,0.0500832640043891,0.998337488459583,0.356660253867517
, 2018:exclos selectif cerf,0.025,0.0500832640043891,0.499168744229791,0.635431709764742
, 2019:exclos selectif cerf,-0.0783333333333333,0.0486721838577383,-1.60940658759611,0.158652744276243
, 2020:exclos selectif cerf,0.105,0.0540961078903916,1.94098991766189,0.100304142180182
, 2021:exclos selectif cerf,0.13,0.0500832640043891,2.59567746999491,0.0408988978563602
, 2022:exclos selectif cerf,NA,NA,NA,NA
, 2017:exclos selectif chevreuil,0.0400000000000002,0.0500832640043891,0.79866999076767,0.454924803026357
, 2018:exclos selectif chevreuil,0.0749999999999999,0.0500832640043891,1.49750623268937,0.184907943781577
, 2019:exclos selectif chevreuil,-0.0083333333333334,0.0486721838577384,-0.171213466765545,0.869684119302361
, 2020:exclos selectif chevreuil,0.135,0.0540961078903916,2.49555846556529,0.0468087047941211
, 2021 :exclos selectif chevreuil,0.14,0.0500832640043891,2.79534496768683,0.0313557415344951
, 2022:exclos selectif chevreuil,NA,NA,NA,NA
, 2017:exclos selectif sanglier,0.03,0.0500832640043891,0.59900249307575,0.571079164694784
, 2018:exclos selectif sanglier,0.0449999999999999,0.0500832640043891,0.898503739613622,0.403531013740525
, 2019:exclos selectif sanglier,-0.0183333333333333,0.0486721838577383,-0.376669626884197,0.719380406622723
, 2020:exclos selectif sanglier,0.225,0.0540961078903916,4.15926410927548,0.0059492793854968
, 2021:exclos selectif sanglier,-0.06,0.0500832640043891,-1.1980049861515,0.276087249330052
, 2022:exclos selectif sanglier,NA,NA,NA,NA
High shrub, 2017:exclos selectif cerf,-0.02,0.0225831795812724,-0.885614885540093,0.416378554160687
, 2018:exclos selectif cerf,-0.00999999999999999,0.0225831795812724,-0.442807442770047,0.676405688203149
, 2019:exclos selectif cerf,-0.01,0.0225831795812724,-0.442807442770048,0.676405688203148
, 2020:exclos selectif cerf,-0.08,0.0243926218353009,-3.27968024676315,0.0219622823170359
, 2021:exclos selectif cerf,-0.00499999999999997,0.0225831795812724,-0.221403721385023,0.833536135622231
, 2022:exclos selectif cerf,NA,NA,NA,NA
